Bubble Sort, Optimized Bubble Sort, Selection Sort, Optimized Selection Sort, Insertion Sort, Radix Sort
0.253242, 0.174093, 0.0581857, 0.0576509, 0.0907214, 1.15348
0.263844, 0.187776, 0.0578423, 0.0590611, 0.0935466, 1.15558
0.255774, 0.187843, 0.0595178, 0.0587423, 0.0903106, 1.15689
0.258461, 0.174128, 0.0585878, 0.0578448, 0.0905966, 1.1486
0.251274, 0.174592, 0.0584468, 0.057814, 0.0904532, 1.15603
0.258243, 0.182644, 0.0585892, 0.0576458, 0.0897392, 1.15276
0.250557, 0.173881, 0.0582828, 0.0581477, 0.0907539, 1.15495
0.250625, 0.173687, 0.0579619, 0.0577976, 0.0893685, 1.15584
0.257118, 0.186947, 0.0582217, 0.0576546, 0.0902796, 1.15472
0.262705, 0.186607, 0.057902, 0.0577099, 0.0913753, 1.15356
0.262828, 0.186454, 0.0581957, 0.0578051, 0.115211, 1.15523
0.262378, 0.187005, 0.0581153, 0.0576989, 0.0892128, 1.15361
0.256725, 0.184744, 0.0589991, 0.0577578, 0.0890098, 1.14809
0.277609, 0.183247, 0.0583338, 0.0576873, 0.0898642, 1.15368
0.258301, 0.182652, 0.0580456, 0.0578016, 0.0894292, 1.15369
0.258267, 0.18266, 0.0578187, 0.0576728, 0.089388, 1.15385
0.258607, 0.182299, 0.0583177, 0.0576385, 0.0901353, 1.15412
0.258498, 0.173273, 0.0579691, 0.0576153, 0.0892969, 1.15403
0.250055, 0.17393, 0.0579207, 0.057629, 0.0904019, 1.15386
0.249369, 0.17335, 0.0581538, 0.057659, 0.0903241, 1.15451
0.250661, 0.173861, 0.0578884, 0.0576849, 0.0902592, 1.15388
0.252176, 0.182602, 0.058161, 0.0577346, 0.090198, 1.15441
0.258734, 0.182452, 0.0582348, 0.0576867, 0.0886356, 1.154
0.25832, 0.183058, 0.0582417, 0.0578398, 0.0897877, 1.15616
0.251373, 0.17822, 0.058771, 0.0579058, 0.0910513, 1.15493
0.250476, 0.182208, 0.0578022, 0.0578926, 0.0897852, 1.15458
0.251105, 0.176952, 0.0596103, 0.0579143, 0.088853, 1.15672
0.249537, 0.172649, 0.0586745, 0.05788, 0.0900136, 1.15509
0.251345, 0.173687, 0.0579214, 0.0576695, 0.089663, 1.15405
0.250069, 0.173615, 0.0584489, 0.0577012, 0.0896059, 1.15375
0.262602, 0.178445, 0.0580313, 0.0576929, 0.0908945, 1.15321
0.259167, 0.183887, 0.0580681, 0.0576346, 0.090208, 1.15391
0.257746, 0.183029, 0.0584016, 0.0576536, 0.090407, 1.15409
0.258884, 0.183096, 0.0582895, 0.0576941, 0.090058, 1.15411
0.249773, 0.173523, 0.0587025, 0.057653, 0.0885234, 1.15344
